query	Score	ItemID	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_1	LeafCats	Title	feature_10
bike	1073740778	172150814327	1.000000	-8.050813	-5.642106	15.380314	0.000000	259324.000000	77881.000000	173.000000	588.000000	::[11507]::	BIKE 1" Swimmer Jock Strap / Jogging Jockstrap - 1" Waistband - UK FREEPOST	3.40484129009
bike	1073740639	152045965929	1.000000	-7.390667	-4.736623	16.487286	0.000000	259324.000000	77881.000000	0.000000	348.538452	::[177846]::	Topeak Super Bicycle Chain Tool	2.50341307715
bike	1073739302	131774964633	1.000000	-8.209416	-4.175261	18.302319	0.476562	259324.000000	77881.000000	135.000000	2103.866699	::[177831]::	2008 FUJI FC-770 18 Speed Men Bicycle 56cm Carbon / Aluminum No Suspension	6.9574183355
bike	1073739156	171393975787	1.000000	-6.134408	-4.741736	6.346206	0.000000	259324.000000	77881.000000	183.000000	815.266663	::[50424]::	New Black Roko Goggle Quick Straps Release Helmet Dirt Bike ATV MX Smith Scott +	6.00379391452
bike	1073739050	281301408397	1.000000	-7.716263	-5.360478	39.642361	0.000000	259324.000000	77881.000000	173.000000	1038.357178	::[35190]::	Bike & Waterproof Bicycle Motorcycle Mount Holder for Nokia NOK Lumia Phones NEW	3.55189586246
bike	1073738772	281921199899	1.000000	-8.244131	-4.512305	14.351768	0.014062	259324.000000	77881.000000	196.000000	1299.849976	::[177817|177827]::	Carbon Fiber MTB Road Mountain Bike Bicycle flat riser Handlebar Stem set Shiny	2.51599750119
bike	1073738272	182031631329	1.000000	-8.906329	-5.882586	10.384348	0.000000	259324.000000	77881.000000	211.000000	1316.000000	::[24087]::	PRADA MEN'S SHOES NYLON TRAINERS SNEAKERS NEW PLUME BIKE BLUE 546	9.68224510351
bike	1073737871	172040345720	1.000000	-7.758067	-4.215820	7.484079	0.020312	259324.000000	77881.000000	179.000000	637.466675	::[70911]::	Kids Adult Protect Helmets for Riding Bike Cycling Scooter Ski Skate Skateboard	8.99309984115
bike	1073737690	391047016704	1.000000	-7.179086	-4.502812	30.479818	0.000000	259324.000000	77881.000000	231.000000	1184.615356	::[56183]::	Digital Age Sport Cycling Jersey Bike Bicycle Clothing Short Sleeve Jersey Top	2.79574297773
bike	1073737602	272151844079	1.000000	-7.831589	-4.567859	14.199005	0.014062	259324.000000	77881.000000	141.000000	998.909119	::[177817|177827]::	Carbon MTB Road Mountain Bike Bicycle rise Handlebar Integrated Bar Stem No logo	5.24593440404
bike	1073737147	182091621812	1.000000	-7.390667	-4.736623	7.639849	0.000000	259324.000000	77881.000000	221.000000	610.312500	::[15687]::	Marvel Superhero Avenger Comics Costume Cycling T Shirt Short Sleeve Bike Jersey	9.20927447993
bike	1073737098	161658204567	1.000000	-7.576794	-4.401037	30.379265	0.000000	259324.000000	77881.000000	188.000000	910.000000	::[155193]::	Swim.Bike.Run. Training Gym Triathalon T-shirt Biking Running Men's Tank Top	3.74314457923
bike	1073736529	331324350277	1.000000	-7.427949	-4.881592	11.960312	0.000000	259324.000000	77881.000000	214.000000	324.875000	::[122304]::	Apico MX Motocross Bike Throttle Cable - Honda CR125 1993-1997 CR250 1984-2000	9.43121388422
bike	1073736334	361364036117	1.000000	-7.586100	-5.299498	16.421795	0.000000	259324.000000	77881.000000	180.000000	696.133362	::[6751]::	Gaerne `14 SG-12 Motocross Dirt Bike Motorcycle Boots Size 8 White/Green WP	4.15409237691
bike	1073734588	200906759330	1.000000	-7.712584	-5.229480	26.821524	0.014062	259324.000000	77881.000000	208.000000	1723.599976	::[177817]::	New 1 Pair of Black Mountain Bicycle Bike Cycling Handlebar Hand Bar End Grip	5.30800444876
bike	1073734056	272138497398	1.000000	-7.876516	-4.711823	7.939776	0.031250	259324.000000	77881.000000	172.000000	529.857117	::[10064]::	**6-Pack** of Motorized Bicycle MAGNETOS - Fits 49cc, 66/80cc Engines	1.47965843346
bike	1073733805	222047437694	1.000000	-7.640575	-4.946984	29.931820	0.000000	259324.000000	77881.000000	172.000000	1264.307739	::[42335]::	2 x pcs Bicycle Bike Brake Cable Adjuster Screws 7mm RED	0.475246554853
bike	1073733332	331830356598	1.000000	-7.638929	-3.670628	10.181701	0.476562	259324.000000	77881.000000	0.000000	907.538452	::[177831]::	SUNDAY SPARK BMX BIKE	10.2421692748
bike	1073733257	281716075192	1.000000	-7.232073	-5.318243	27.049675	0.000000	259324.000000	77881.000000	220.000000	1300.058838	::[22683]::	Women's Winter Riding Cycling Bike Bicycle 3D GEL Full Finger Gloves Cat girl 	2.85386473209
bike	1073732890	381390013182	1.000000	-7.506261	-5.144258	29.491665	0.000000	259324.000000	77881.000000	216.000000	1169.055542	::[177852]::	Cycling Bike Bicycle Short Sleeve Set Men 3D Pattern Jersey +Bib Shorts CC2005-2	2.33839601264
bike	1073731841	170925764434	1.000000	-7.933802	-5.633082	7.780714	0.000000	259324.000000	77881.000000	215.000000	324.875000	::[155183]::	MX REQUIRES BALLS HOODIE SWEAT SHIRT MOTOCROSS YZF KTM CRF KXF SUPERCROSS BIKE	5.36406421364
bike	1073730704	121796055789	1.000000	-8.400303	-4.406747	14.686769	0.000000	259324.000000	77881.000000	227.000000	516.421082	::[15687|137084]::	Superhero Marvel Costume Cycling T-Shirts  Short Long Sleeve Bicycle Jersey HOT	5.71150275786
bike	1073729778	140681734299	1.000000	-7.884474	-4.370881	18.770878	0.000000	259324.000000	77881.000000	205.000000	527.478271	::[177980]::	44MM BIG BORE TOP END KIT FOR ATV POCKET BIKE 49CC 2 STROKE STAGE 3 BLUE P CK10B	6.05056264269
bike	1073727845	400575310345	1.000000	-6.459435	-4.130013	12.703299	0.000000	259324.000000	77881.000000	222.000000	715.437500	::[177781]::	PETCOCK FUEL VALVE 1/4" On Off MOTORCYCLE CHOPPER CUSTOM BIKE BSA DEERE utv new	4.10666171872
bike	1073727011	131735452820	1.000000	-8.186845	-6.041079	18.435760	0.476562	259324.000000	77881.000000	193.000000	1392.133301	::[177831]::	Framed Minnesota 3.0 XWT Fat Bike w/ Alloy and Carbon Fork Sz 16in	5.80460195366
bike	1073726936	381364425725	1.000000	-7.562020	-5.205191	31.104332	0.000000	259324.000000	77881.000000	218.000000	1101.750000	::[177852]::	Men Cycling Team Clothing Bicycle Jersey + (Bib) Shorts Bike Outdoor Wear Suits	2.05093397487
bike	1073726658	252337000737	1.000000	-7.390667	-4.736623	16.953398	0.000000	259324.000000	77881.000000	186.000000	1087.733276	::[16050]::	(FreeShi) Bicycle Motorcycle Cycling Bike Ski Anti Dust Face Mask Half Filter F	0.11190937903
bike	1073726463	231912352536	1.000000	-7.581233	-5.316706	17.693710	0.000000	259324.000000	77881.000000	171.000000	933.692322	::[73502]::	American Chopper Black Widow Bike Motorcycle Coffee  Mug 2005 Mickey's Bike	5.57467419165
