key,query,Title,LeafCats,ItemID,X_unit_id,SCORE,label_relevanceGrade,label_relevanceBinary,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
137874,mens button down collar shirt olive 16 34/35,Nautica blue dress shirt button down collar 18 34/35 100%25 cotton,57991,48496,780089012,1:-1:-1,3,0.0,2676.618,0.0,-7.44006,-4.201149,41.07814,0.344941,0.0,0.0,140,-100.0
5322,define jacket,Ecko Unltd Define by Design Jacket XL NWT $49.50 Macy's Navy white Plaid Trendy,63862,2684,724908728,3:1:3,5,0.0,1198.8125,1.0,-7.404131,-4.066405,37.461391,0.026474412008,260.0,-1000000.0,212,1.15804511554
49600,batman,Women's Singlet Racerback Vest Tank Tops Sretchy Blouse Gothic Punk Rock T-Shirt,53159|63869,24594,693261626,3:3:-1,5,0.0,583.150024,1.0,-5.982722,-3.370615,34.754265,0.0,240564.0,105263.0,213,-0.498486520574
41941,1959 chevy truck,Chevrolet : Other Pickups 3124,5348,20908,693262441,3:1:3,5,0.0,2143.666748,1.0,-12.051169,-3.586537,45.255238,0.237168304104,2166.0,34965.0,137,-100.0
161562,1965 corvette gm intake aluminum,Original GM 1966 Chevy Big Block 396 427 L72 Aluminum Intake Manifold 3885069,34198,59966,809746464,3:1:3,5,0.0,2676.618,0.0,-8.840791,-3.298256,66.894775,0.104615,0.0,0.0,178,-100.0
25473,piano casters,Schaff Wood Piano Caster Cups Standard Size Ebony Satin,180011,12584,687421166,-1:-1:2,3,0.0,1962.666626,1.0,-6.911956,-5.284036,63.167458,0.484123923383,121.0,190476.0,173,-100.0
2374,mega 2560,Interface Base Serial Transceiver Bluetooth Module HC-05 06 for Arduino SP2G,4661,1232,724909544,-1:3:3,5,0.0,602.125,1.0,-7.644516,-5.581517,27.069828,0.0739096526486,2791.0,231707.0,211,-1.11428571429
50698,piaggio typhoon,Piaggio TPH 50 Typhoon Kat TEC1T 96-99 Cylinder Kit 70cc 12mm Pin,177970|177968,25098,740193334,3:3:-1,5,0.0,1246.684204,1.0,-7.425913,-4.874062,19.231911,0.0,10426.0,-1000000.0,171,-100.0
2160,stereograph,STEREOVIEW CASE HOLDS 60-100 STEREOGRAPH CARDS ,13706,1118,724910144,-1:3:-1,3,0.0,2888.54541,1.0,-7.307054,-3.284784,17.937361,0.676056338028,988.0,-1000000.0,172,-100.0
220927,g73jh,ASUS G Series G73JH Gaming Laptop/Notebook Intel core i7 Q 740 (1.73),177,70647,793071111,3:3:1,5,0.0,3146.411865,1.0,-10.071304,-3.260897,54.046829,0.322813,805.0,83333.0,172,1.08327328934
49776,sennheiser ew100 g2,Sennheiser ew 100-ENG G2 Condenser Wireless Professional Microphone,83857|29946,24680,687423616,3:3:-1,5,0.0,3324.230713,1.0,-8.102356,-3.250192,63.617458,0.340957690837,97.0,333333.0,0,3.13252642175
20689,plate japan,INITIAL D lowered tofu shop japan jdm JDM turbo racing License Plate Frame,50451,10304,753413209,-1:-1:,2,0.0,2676.618,0.0,-6.5141,-3.933072,24.029203,0.173885,22932.0,-1000000.0,198,-100.0
35019,juegos de cocina,"Juegos de interior Indoor games: Trucos De Magia, Ingenio Y Recetas De Cocina Ri",171243,17396,753410950,:-2:3,3,0.0,179.600006,1.0,-7.558091,-4.986734,54.970024,0.0,7642.0,-1000000.0,0,-100.0
28232,hawiian shirt 3xl lot,Knightsbridge Cream And Blue Floral Cotton And Silk Hawiian Shirt 3Xl,57990,13980,740193570,1:2:2,5,0.0,2676.618,0.0,-7.758636,-5.269312,38.099976,0.420097912794,0.0,0.0,140,-100.0
24603,cat in the hat lithograph,Chantal Poulin Hat and Cat 18x22 Framed Print Signed Limited 509/750 Lithograph,360,12172,693260081,1:-1:-1,3,0.0,2676.618,0.0,-7.663097,-5.224047,24.42326,0.189229174461,0.0,0.0,137,-100.0
5679,canon 5d battery,2 Pcs LP-E6 Lithium Battery for Canon EOS 6D 60D 7D 70D 5D Mark II III Camera,162045,2840,724909602,3:2:2,5,0.0,3596.47998,1.0,-6.270979,-4.380673,46.402401,0.107053066864,2531.0,384615.0,204,1.4648678153
215580,lalaloopsy doll mini dolls prince and princes set,Huge lot LaLaloopsy dolls and toys 3mini 3full Baby Mermaid animals gift set,36549,68058,793074169,1:1:1,4,0.0,2676.618,0.0,-7.521935,-4.467175,52.784573,0.285686,0.0,0.0,172,-100.0
217241,universal reel rod clamp,MINT PENN Part 33-200 Fishing Reel Rod Clamp Senator Squidder Jigmaster Peer,178885,68863,793072350,1:3:3,5,0.0,2676.618,0.0,-8.341653,-4.397423,43.123528,0.307389,0.0,0.0,172,-100.0
33573,ups,VINTAGE POSTCARD COLOR COTTAGE SCENE 1 CENT NO RESERVE PICK UP ONLY,127,16673,753409390,-2:-2:-1,1,0.0,434.714294,1.0,-7.751333,-4.72791,8.541674,0.0,535239.0,274336.0,173,-100.0
42861,juegos de vestir y maquillar,KOBE BRYANTAND MICHAEL JORDAN GAMES ON DVD'S /JUEGOS CLASICOS DE KOBE B. Y M. J.,617,21360,693262294,3::-2,3,0.0,158.588242,1.0,-7.934263,-4.153656,22.906368,0.0,49.0,-1000000.0,156,-100.0
